mes,banco,suma_tasa_credito,total_creditos,registros_fuente,fecha_minima,fecha_maxima,tasa_ponderada
2025-12,Bancolombia,815294.69,38044,15886,2025-12-05,2025-12-26,21.430309378614236
2025-12,Bancoomeva,16739.16,908,811,2025-12-05,2025-12-26,18.435198237885462
2025-12,Coopcentral,205.39,11,11,2025-12-05,2025-12-26,18.671818181818182
2025-12,Finandina,8452.31,365,220,2025-12-05,2025-12-26,23.157013698630134
2025-12,Itaú,29253.28,1543,898,2025-12-05,2025-12-26,18.958703823720025
2025-12,Lulo Bank,185800.01,8953,4796,2025-12-05,2025-12-26,20.75282140064783
2026-01,BBVA Colombia,420175.57,17611,7808,2026-01-02,2026-01-30,23.85870024416558
2026-01,Bancien,28.06,2,2,2026-01-30,2026-01-30,14.03
2026-01,Banco AV Villas,66456.89,3439,1952,2026-01-02,2026-01-30,19.32448095376563
2026-01,Banco Agrario,9836.04,453,449,2026-01-02,2026-01-30,21.71311258278146
2026-01,Banco Caja Social,155785.6,6678,4778,2026-01-02,2026-01-30,23.32818209044624
2026-01,Banco Davibank,221624.4,10736,3426,2026-01-02,2026-01-30,20.643107302533533
2026-01,Banco Davivienda,663820.35,29297,10707,2026-01-02,2026-01-30,22.658304604567018
2026-01,Banco Falabella,522407.15,22984,9362,2026-01-02,2026-01-30,22.72916594152454
2026-01,Banco GNB Sudameris,131.26,8,8,2026-01-02,2026-01-30,16.4075
2026-01,Banco Mundo Mujer,194511.4,7968,4721,2026-01-02,2026-01-30,24.41157128514056
2026-01,Banco Popular,24.46,1,1,2026-01-02,2026-01-02,24.46
2026-01,Banco Serfinanza,6426.6,322,301,2026-01-02,2026-01-30,19.958385093167703
2026-01,Banco Unión,674.64,28,28,2026-01-02,2026-01-30,24.094285714285714
2026-01,Banco de Bogotá,1172233.87,50463,20081,2026-01-02,2026-01-30,23.229571567286925
2026-01,Banco de Occidente,52593.44,2563,1274,2026-01-02,2026-01-30,20.52026531408506
2026-01,Bancolombia,817257.85,38755,16777,2026-01-02,2026-01-30,21.08780415430267
2026-01,Bancoomeva,18088.16,920,852,2026-01-02,2026-01-30,19.66104347826087
2026-01,Coopcentral,195.0,11,11,2026-01-02,2026-01-30,17.727272727272727
2026-01,Finandina,8579.73,368,238,2026-01-02,2026-01-30,23.31448369565217
2026-01,Itaú,40075.3,2115,1180,2026-01-02,2026-01-30,18.948132387706856
2026-01,Lulo Bank,195698.29,9355,5149,2026-01-02,2026-01-30,20.919111704970604
2026-02,BBVA Colombia,359617.25,14907,6462,2026-02-06,2026-02-27,24.124052458576507
2026-02,Banco AV Villas,72619.58,3683,1973,2026-02-06,2026-02-27,19.71750746673907
2026-02,Banco Agrario,10396.140000000001,467,459,2026-02-06,2026-02-27,22.261541755888654
2026-02,Banco Caja Social,147282.21,6356,4472,2026-02-06,2026-02-27,23.172153870358716
2026-02,Banco Davibank,188719.58,8484,2989,2026-02-06,2026-02-27,22.244174917491748
2026-02,Banco Davivienda,554382.62,24045,8889,2026-02-06,2026-02-27,23.056045747556663
2026-02,Banco Falabella,425209.2,18275,7581,2026-02-06,2026-02-27,23.267261285909715
2026-02,Banco GNB Sudameris,177.29,10,10,2026-02-06,2026-02-27,17.729
2026-02,Banco Mundo Mujer,172533.8,6864,3948,2026-02-06,2026-02-27,25.13604312354312
2026-02,Banco Popular,99.37,4,4,2026-02-06,2026-02-20,24.8425
2026-02,Banco Santander,5.0,1,1,2026-02-27,2026-02-27,5.0
2026-02,Banco Serfinanza,6715.68,353,299,2026-02-06,2026-02-27,19.02458923512748
2026-02,Banco Unión,982.4100000000001,39,38,2026-02-06,2026-02-27,25.19
2026-02,Banco de Bogotá,1056973.18,43888,18808,2026-02-06,2026-02-27,24.08342098067809
2026-02,Banco de Occidente,51535.68,2398,1159,2026-02-06,2026-02-27,21.49110925771476
2026-02,Bancolombia,903849.9,40918,16852,2026-02-06,2026-02-27,22.089298108411946
2026-02,Bancoomeva,17763.15,913,808,2026-02-06,2026-02-27,19.45580503833516
2026-02,Coopcentral,235.0,13,13,2026-02-06,2026-02-27,18.076923076923077
2026-02,Finandina,9456.23,395,260,2026-02-06,2026-02-27,23.939822784810126
2026-02,Itaú,35143.090000000004,1937,1069,2026-02-06,2026-02-27,18.143051109963864
2026-02,Lulo Bank,153532.58,7227,4036,2026-02-06,2026-02-27,21.24430330704303
