banco,rango_orden,rango_monto,primer_mes,ultimo_mes,meses_observados,observaciones_modelables,creditos_total,creditos_mediana,tasa_minima,tasa_maxima,tasa_std,meses_esperados,cobertura_meses,apta_modelo
Bancoomeva,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,9828,276.0,17.662540322580643,28.741135135135135,3.716167807888906,31,1.0,True
Banco de Occidente,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,9749,293.0,21.196655737704916,33.51048832271762,4.221931214121312,31,1.0,True
Banco Serfinanza,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,9310,263.0,18.65296052631579,23.51273092369478,1.4940193921841607,31,1.0,True
Banco Caja Social,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,7949,248.0,18.08324427480916,26.692857142857143,2.7343527649052506,31,1.0,True
Bancoomeva,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,7396,201.0,18.64701030927835,29.551824104234527,3.5823062053605943,31,1.0,True
Banco de Occidente,6,Mayor a 100 SMLMV,2023-09,2026-03,31,29,7279,243.0,16.94017857142857,23.709632653061224,1.9647354031788067,31,1.0,True
Finandina,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,7274,238.0,20.345111940298505,30.740198675496686,2.808914844248563,31,1.0,True
Banco de Bogotá,6,Mayor a 100 SMLMV,2023-09,2026-03,31,29,6383,188.0,13.57127118644068,21.126153846153844,2.1007038773740905,31,1.0,True
Banco AV Villas,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,6259,206.0,21.49358904109589,35.23533333333333,4.242272980178632,31,1.0,True
Itaú,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,6017,175.0,19.101296296296294,27.769052132701425,2.949819554385094,31,1.0,True
Itaú,6,Mayor a 100 SMLMV,2023-09,2026-03,31,29,5073,159.0,16.810945945945946,25.442923076923076,2.589421459941801,31,1.0,True
Finandina,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,4992,157.0,21.12497267759563,34.423741007194245,3.6981527959394502,31,1.0,True
Banco Agrario,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,4138,134.0,21.622187500000003,28.06285714285714,2.2613490941623287,31,1.0,True
Bancoomeva,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,3685,107.0,19.509999999999998,29.538590604026847,3.512436286717724,31,1.0,True
Banco Serfinanza,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,3621,106.0,18.333708609271522,24.083893129770996,1.7744359899004771,31,1.0,True
Lulo Bank,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,3535,111.0,19.25759776536313,29.403181818181817,2.95766517166937,31,1.0,True
Banco Serfinanza,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,3358,85.0,17.736238095238097,26.59659090909091,2.2865319162888653,31,1.0,True
Banco de Occidente,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,3319,84.0,20.795324675324675,34.717261904761905,4.671292185850574,31,1.0,True
Banco Agrario,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,3086,97.0,21.693664122137406,35.95333333333333,4.1383750552611005,31,1.0,True
Banco Serfinanza,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,2532,66.0,15.588666666666668,25.288666666666664,2.4103874409091928,31,1.0,True
Banco AV Villas,6,Mayor a 100 SMLMV,2023-09,2026-03,31,29,2524,63.0,16.525506329113924,22.928888888888892,1.8534386901015762,31,1.0,True
