number,value,params_alpha,user_attrs_mae_valid,user_attrs_rmse_valid,user_attrs_smape_valid,state,nivel,familia,params_l1_ratio,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_colsample_bytree,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample
2,0.7236507206672167,0.0006026889128682511,1.5035039549332814,1.941270337719876,8.207352762462266,COMPLETE,banco_rango,elasticnet,0.19039506830258235,,,,,,,,,,,,,,
3,0.7208375598803078,0.00019517224641449495,1.384708789617338,1.9511261219524054,7.645415981048891,COMPLETE,banco_rango,elasticnet,0.8295585311974416,,,,,,,,,,,,,,
4,0.6889862253396177,0.10129197956845731,1.702714055666689,2.0594282343951513,9.18878276526834,COMPLETE,banco_rango,elasticnet,0.6872653200164409,,,,,,,,,,,,,,
5,0.7199940885673155,0.00012674255898937226,1.3655265917472479,1.9540714996995763,7.5542922086647355,COMPLETE,banco_rango,elasticnet,0.9229188669457948,,,,,,,,,,,,,,
6,0.7021593391790424,1.452824663751602,1.3384016559475456,2.0153424089012444,7.759359729778168,COMPLETE,banco_rango,elasticnet,0.24110519961044852,,,,,,,,,,,,,,
7,0.7193618824564767,0.0008111941985431928,1.5424599333006284,1.9562762378161662,8.41333753110499,COMPLETE,banco_rango,elasticnet,0.21506405886809044,,,,,,,,,,,,,,
8,0.6690514429021047,0.0033205591037519565,1.7867087628018623,2.1244039313614382,9.677801904105907,COMPLETE,banco_rango,elasticnet,0.522280788469014,,,,,,,,,,,,,,
9,0.6176492827990768,0.01444525102276306,1.959130637882513,2.283430538785949,10.577201264448552,COMPLETE,banco_rango,elasticnet,0.3121062261782377,,,,,,,,,,,,,,
10,-1.1733466865763331,7.103285457179474,4.133768128416462,5.444040597116097,19.86284771223101,COMPLETE,banco_rango,elasticnet,0.4759945893092017,,,,,,,,,,,,,,
11,0.6140969444444764,0.1730779525382564,1.9636318708551006,2.294013445974979,10.526230829227199,COMPLETE,banco_rango,elasticnet,0.059463518652435154,,,,,,,,,,,,,,
12,0.7588173213913671,0.44337966503967596,1.3465559729951335,1.813551561256749,7.5538807110181905,COMPLETE,banco_rango,elasticnet,0.5575631104001643,,,,,,,,,,,,,,
13,0.7617297411462041,0.5390964383604716,1.3144684500710846,1.8025684639302615,7.452442847274003,COMPLETE,banco_rango,elasticnet,0.5999758398545837,,,,,,,,,,,,,,
