nivel,serie_id,primer_mes,ultimo_mes,meses_observados,observaciones_modelables,creditos_total,creditos_mediana,tasa_minima,tasa_maxima,tasa_std,meses_esperados,cobertura_meses,apta_modelo
banco_rango,Bancolombia | Mayor a 100 SMLMV,2023-09,2026-03,31,28,15792,519.0,15.759749518304432,25.09615183246073,3.076386697404495,31,1.0,True
banco_rango,Lulo Bank | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,28,14385,473.0,20.02615931721195,30.668367346938776,3.404587981857735,31,1.0,True
banco_rango,Banco AV Villas | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,28,12513,330.0,21.021680376028204,32.973827160493826,3.9055701020705866,31,1.0,True
banco_rango,Bancoomeva | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,28,11959,371.0,16.582153589315524,29.39509803921569,4.184802413899291,31,1.0,True
banco_rango,Itaú | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,28,10422,327.0,18.482316513761468,26.91391304347826,2.7488986928169585,31,1.0,True
banco_rango,Bancoomeva | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,28,9828,276.0,17.662540322580643,28.74113513513513,3.7161678078889055,31,1.0,True
banco_rango,Banco de Occidente | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,28,9749,293.0,21.19665573770492,33.51048832271762,4.221931214121312,31,1.0,True
banco_rango,Banco Serfinanza | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,28,9310,263.0,18.65296052631579,23.51273092369478,1.4940193921841607,31,1.0,True
banco_rango,Banco Caja Social | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,28,7949,248.0,18.08324427480916,26.692857142857143,2.7343527649052506,31,1.0,True
banco_rango,Bancoomeva | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,28,7396,201.0,18.64701030927835,29.551824104234527,3.5823062053605943,31,1.0,True
banco_rango,Banco de Occidente | Mayor a 100 SMLMV,2023-09,2026-03,31,28,7279,243.0,16.94017857142857,23.709632653061224,1.9647354031788065,31,1.0,True
banco_rango,Finandina | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,28,7274,238.0,20.345111940298505,30.74019867549669,2.808914844248566,31,1.0,True
