banco,rango_orden,rango_monto,serie_banco_rango,nivel_usado,serie_usada,modelo_usado,mes_base,mes_predicho,tasa_base,prediccion_tasa_t3,total_creditos_base,modelo_recomendado,prediccion_original_tasa_t3,prediccion_recomendada_tasa_t3
Banco Davibank,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Davibank | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Davibank | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.686840855106887,23.686840855106887,421.0,baseline_tasa_actual,22.266510009765625,23.686840855106887
Banco Davibank,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Davibank | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Davibank | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.32510268562401,23.32510268562401,633.0,baseline_tasa_actual,21.98113822937012,23.32510268562401
Banco Davibank,1,Menor o igual a 3 SMLMV,Banco Davibank | Menor o igual a 3 SMLMV,banco_rango,Banco Davibank | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.34921052631579,23.34921052631579,190.0,baseline_tasa_actual,21.98113822937012,23.34921052631579
Banco Davivienda,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Davivienda | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Davivienda | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.23782565626548,22.23782565626548,4038.0,baseline_tasa_actual,21.1660270690918,22.23782565626548
Banco Davivienda,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Davivienda | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Davivienda | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,21.78571355498721,21.78571355498721,1955.0,baseline_tasa_actual,20.806480407714844,21.78571355498721
Banco Davivienda,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Davivienda | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Davivienda | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.36929493173742,23.36929493173742,5347.0,baseline_tasa_actual,21.964523315429688,23.36929493173742
Banco Davivienda,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Davivienda | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Davivienda | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.19748660084626,23.19748660084626,7090.0,baseline_tasa_actual,21.5540828704834,23.19748660084626
Banco Davivienda,1,Menor o igual a 3 SMLMV,Banco Davivienda | Menor o igual a 3 SMLMV,banco_rango,Banco Davivienda | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.60986821015138,23.60986821015138,5615.0,baseline_tasa_actual,22.249895095825195,23.60986821015138
Banco Falabella,6,Mayor a 100 SMLMV,Banco Falabella | Mayor a 100 SMLMV,banco_rango,Banco Falabella | Mayor a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,20.12833333333333,20.12833333333333,6.0,baseline_tasa_actual,18.930879592895508,20.12833333333333
Banco Falabella,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Falabella | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Falabella | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,baseline_tasa_actual,2026-02,2026-05,21.18920735573874,21.18920735573874,1577.0,baseline_tasa_actual,20.1466064453125,21.18920735573874
Banco Falabella,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Falabella | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Falabella | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,18.900036429872497,18.900036429872497,549.0,baseline_tasa_actual,18.141342163085938,18.900036429872497
Banco Falabella,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Falabella | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Falabella | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.990926821892952,23.990926821892952,6614.0,baseline_tasa_actual,22.408809661865234,23.990926821892952
Banco Falabella,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Falabella | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Falabella | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,baseline_tasa_actual,2026-02,2026-05,22.961184988179667,22.961184988179667,3384.0,baseline_tasa_actual,21.98113822937012,22.961184988179667
Banco Falabella,1,Menor o igual a 3 SMLMV,Banco Falabella | Menor o igual a 3 SMLMV,banco_rango,Banco Falabella | Menor o igual a 3 SMLMV,baseline_tasa_actual,2026-02,2026-05,23.58344833197722,23.58344833197722,6145.0,baseline_tasa_actual,22.266510009765625,23.58344833197722
Banco GNB Sudameris,6,Mayor a 100 SMLMV,Banco GNB Sudameris | Mayor a 100 SMLMV,banco,Banco GNB Sudameris,baseline_tasa_actual,2026-02,2026-05,15.346666666666666,17.729,3.0,baseline_tasa_actual,17.729,17.729
Banco GNB Sudameris,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco GNB Sudameris | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco,Banco GNB Sudameris,baseline_tasa_actual,2026-02,2026-05,17.12,17.729,1.0,baseline_tasa_actual,17.729,17.729
Banco GNB Sudameris,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco GNB Sudameris | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco,Banco GNB Sudameris,baseline_tasa_actual,2026-02,2026-05,19.305,17.729,4.0,baseline_tasa_actual,17.729,17.729
