number,value,params_alpha,user_attrs_mae_valid,user_attrs_rmse_valid,user_attrs_smape_valid,state,nivel,familia,params_l1_ratio,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_colsample_bytree,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample
78,0.7279101498813529,0.008604906247031259,1.328024536099689,1.8658562283454927,7.358659858041304,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
79,0.7281419460612334,0.16911707057696665,1.3650264813849706,1.8650612878185542,7.5556735566592605,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
0,0.6135519966231107,0.0074593432857265485,1.8494049071421568,2.223655677999336,9.934686794785879,COMPLETE,banco_rango,elasticnet,0.9056428757689245,,,,,,,,,,,,,,
1,0.755556136430557,0.4570563099801455,1.2788106841981204,1.7685265154319683,7.113264450994085,COMPLETE,banco_rango,elasticnet,0.588792635777333,,,,,,,,,,,,,,
2,0.7134718528007014,0.0006026889128682511,1.4807560611874988,1.9147216662095639,8.092712211860267,COMPLETE,banco_rango,elasticnet,0.19039506830258235,,,,,,,,,,,,,,
3,0.7230836275069783,0.00019517224641449495,1.3705920583914837,1.882332422243039,7.605409294699177,COMPLETE,banco_rango,elasticnet,0.8295585311974416,,,,,,,,,,,,,,
4,0.6803143103524538,0.10129197956845731,1.6263442097921315,2.0224770580035267,8.73700515544477,COMPLETE,banco_rango,elasticnet,0.6872653200164409,,,,,,,,,,,,,,
5,0.7242366894850902,0.00012674255898937226,1.3501116012328434,1.878409378541565,7.480437117748346,COMPLETE,banco_rango,elasticnet,0.9229188669457948,,,,,,,,,,,,,,
6,0.6800372884470052,1.452824663751602,1.3113662044187404,2.0233531515294523,7.473062152849949,COMPLETE,banco_rango,elasticnet,0.24110519961044852,,,,,,,,,,,,,,
7,0.7069284624391041,0.0008111941985431928,1.5150129108220731,1.9364613231774268,8.247798618707721,COMPLETE,banco_rango,elasticnet,0.21506405886809044,,,,,,,,,,,,,,
8,0.6543259070588592,0.0033205591037519565,1.7173608011515422,2.1030782010480205,9.251063283446378,COMPLETE,banco_rango,elasticnet,0.522280788469014,,,,,,,,,,,,,,
9,0.6162005712864221,0.01444525102276306,1.8419482724293808,2.2160225114121697,9.909417561351564,COMPLETE,banco_rango,elasticnet,0.3121062261782377,,,,,,,,,,,,,,
10,-1.3047712063410883,7.103285457179474,4.189388628511777,5.430451204624667,19.80343847685457,COMPLETE,banco_rango,elasticnet,0.4759945893092017,,,,,,,,,,,,,,
11,0.7313131682851193,0.20960471251555565,1.4275370836383026,1.8541514154093048,7.772947262612892,COMPLETE,banco_rango,elasticnet,0.6828431216897579,,,,,,,,,,,,,,
12,0.7162444539683537,0.1816907233289534,1.4880441104985445,1.9054352056990904,8.064571094877762,COMPLETE,banco_rango,elasticnet,0.6510365335515285,,,,,,,,,,,,,,
13,0.7579829308896397,0.44226372714201145,1.2728528342538783,1.759725812336222,7.083050010995429,COMPLETE,banco_rango,elasticnet,0.6291650957589493,,,,,,,,,,,,,,
14,0.6254889471567172,1.428194787517146,1.4336732847422908,2.189043166185888,8.130603170009215,COMPLETE,banco_rango,elasticnet,0.489452520708032,,,,,,,,,,,,,,
15,0.7333699664843707,0.8507524751012389,1.2637852345363199,1.8470410154602934,7.147756412071285,COMPLETE,banco_rango,elasticnet,0.37595959555084624,,,,,,,,,,,,,,
16,0.636287577196296,0.057695662501743815,1.775957133463796,2.157252958760487,9.509798853892946,COMPLETE,banco_rango,elasticnet,0.6080469065665594,,,,,,,,,,,,,,
17,-1.4580065445901313,8.976047333858538,4.340307839367625,5.608071258445114,20.370723676710416,COMPLETE,banco_rango,elasticnet,0.7574672937766331,,,,,,,,,,,,,,
18,0.7543401512793103,0.5217386775032781,1.2684893175591334,1.7729198230940075,7.086189061250618,COMPLETE,banco_rango,elasticnet,0.5610129783564191,,,,,,,,,,,,,,
19,0.6138825307885863,0.025227842470588565,1.8497873270392284,2.222704513292503,9.9333497532536,COMPLETE,banco_rango,elasticnet,0.3988347836575648,,,,,,,,,,,,,,
20,0.5340086868840733,3.1258320059313456,1.5613683275080608,2.441804648969701,8.726618801060628,COMPLETE,banco_rango,elasticnet,0.07373127596522683,,,,,,,,,,,,,,
21,0.7535477092086937,0.5611556908732882,1.2623172493930261,1.7757770362009095,7.0716832520784365,COMPLETE,banco_rango,elasticnet,0.5559094941576241,,,,,,,,,,,,,,
22,0.7617584879860593,0.3204888885341094,1.2818579538869834,1.7459456657045493,7.093637159920315,COMPLETE,banco_rango,elasticnet,0.7716777675044197,,,,,,,,,,,,,,
23,0.7636680279490697,0.34119751887957883,1.2690020548186884,1.7389345860035141,7.038478390589396,COMPLETE,banco_rango,elasticnet,0.7745905763554192,,,,,,,,,,,,,,
