banco,rango_orden,rango_monto,serie_banco_rango,nivel_usado,serie_usada,modelo_usado,mes_base,mes_predicho,tasa_base,prediccion_tasa_t3,total_creditos_base
Banco de Occidente,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco de Occidente | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco de Occidente | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,22.18447415329768,21.128950119018555,561.0
Banco de Occidente,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco de Occidente | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco de Occidente | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,20.715181660899653,19.48003387451172,1156.0
Banco de Occidente,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco de Occidente | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco de Occidente | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,22.89511111111112,21.5540828704834,135.0
Banco de Occidente,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco de Occidente | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco de Occidente | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,22.978525073746315,21.5540828704834,339.0
Banco de Occidente,1,Menor o igual a 3 SMLMV,Banco de Occidente | Menor o igual a 3 SMLMV,banco_rango,Banco de Occidente | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,23.38394366197183,21.640535354614254,71.0
Bancolombia,6,Mayor a 100 SMLMV,Bancolombia | Mayor a 100 SMLMV,banco_rango,Bancolombia | Mayor a 100 SMLMV,xgboost,2026-02,2026-05,17.543870967741935,16.65436553955078,341.0
Bancolombia,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Bancolombia | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Bancolombia | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,21.25018900843268,20.11610984802246,6878.0
Bancolombia,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Bancolombia | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Bancolombia | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,20.057403939925884,19.11518096923828,5127.0
Bancolombia,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Bancolombia | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Bancolombia | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,22.650391095066187,21.848899841308597,11634.0
Bancolombia,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Bancolombia | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Bancolombia | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,21.736364416125475,21.25028610229492,8161.0
